race_wa,age_1985,gender,free_lunch,class_size,read_score,math_score,list_score,school_id,treatment,test_score,percentile
FALSE,5,MALE,NON-FREE LUNCH,22,427,478,509,169280,REGULAR + AIDE CLASS,1414,0.339348283111423
TRUE,5,FEMALE,NON-FREE LUNCH,17,450,494,549,218562,REGULAR + AIDE CLASS,1493,0.66573230553609
FALSE,6,FEMALE,FREE LUNCH,17,483,513,554,205492,SMALL CLASS,1550,0.826909600560617
TRUE,6,MALE,NON-FREE LUNCH,24,456,513,520,257899,REGULAR CLASS,1489,0.650490539593553
TRUE,6,MALE,NON-FREE LUNCH,24,411,468,571,161176,REGULAR + AIDE CLASS,1450,0.491765942536791
TRUE,6,MALE,NON-FREE LUNCH,13,443,473,595,189382,SMALL CLASS,1511,0.724772249474422
TRUE,6,MALE,FREE LUNCH,24,448,449,540,189382,REGULAR + AIDE CLASS,1437,0.439208128941836
TRUE,6,FEMALE,FREE LUNCH,14,463,520,565,201449,SMALL CLASS,1548,0.823405746320953
TRUE,6,MALE,NON-FREE LUNCH,23,472,536,595,230612,REGULAR CLASS,1603,0.916433076384022
TRUE,6,MALE,NON-FREE LUNCH,22,545,626,622,262937,REGULAR + AIDE CLASS,1793,0.997897687456202
FALSE,6,MALE,NON-FREE LUNCH,20,408,454,474,169219,REGULAR CLASS,1336,0.0932025227750526
TRUE,6,MALE,NON-FREE LUNCH,24,422,439,536,169229,REGULAR + AIDE CLASS,1397,0.278906797477225
TRUE,6,FEMALE,NON-FREE LUNCH,23,472,528,578,205491,REGULAR + AIDE CLASS,1578,0.879292221443588
TRUE,5,FEMALE,FREE LUNCH,17,437,463,554,161176,SMALL CLASS,1454,0.506131744919411
TRUE,5,FEMALE,NON-FREE LUNCH,24,450,484,565,168211,REGULAR CLASS,1499,0.688507358093903
TRUE,5,FEMALE,NON-FREE LUNCH,22,497,547,524,173312,REGULAR + AIDE CLASS,1568,0.862123335669236
TRUE,5,FEMALE,FREE LUNCH,23,460,576,595,234628,REGULAR + AIDE CLASS,1631,0.94604064470918
TRUE,5,MALE,NON-FREE LUNCH,22,408,449,512,244831,REGULAR CLASS,1369,0.181499649614576
TRUE,5,MALE,NON-FREE LUNCH,13,467,576,565,189382,SMALL CLASS,1608,0.920988086895585
TRUE,5,MALE,NON-FREE LUNCH,18,403,392,501,253888,REGULAR + AIDE CLASS,1296,0.0304835318850736
FALSE,5,MALE,NON-FREE LUNCH,20,411,444,505,244755,REGULAR CLASS,1360,0.152592852137351
TRUE,5,MALE,FREE LUNCH,14,490,559,595,218562,SMALL CLASS,1644,0.955676243868255
TRUE,5,FEMALE,NON-FREE LUNCH,14,503,576,671,262937,SMALL CLASS,1750,0.992641906096706
TRUE,5,MALE,NON-FREE LUNCH,24,442,547,532,244801,REGULAR + AIDE CLASS,1521,0.75332866152768
TRUE,5,FEMALE,FREE LUNCH,24,443,484,532,189396,REGULAR CLASS,1459,0.526804484933427
TRUE,5,FEMALE,NON-FREE LUNCH,21,403,459,509,212522,REGULAR + AIDE CLASS,1371,0.188156972669937
TRUE,5,MALE,FREE LUNCH,18,424,444,498,253888,REGULAR + AIDE CLASS,1366,0.173265592151367
TRUE,5,FEMALE,NON-FREE LUNCH,23,413,459,520,205491,REGULAR + AIDE CLASS,1392,0.262438682550806
TRUE,5,FEMALE,NON-FREE LUNCH,19,495,576,607,262937,REGULAR CLASS,1678,0.973896285914506
TRUE,5,FEMALE,FREE LUNCH,22,451,528,578,262937,REGULAR + AIDE CLASS,1557,0.841450595655221
FALSE,5,FEMALE,FREE LUNCH,23,413,468,482,221571,REGULAR CLASS,1363,0.162228451296426
FALSE,5,FEMALE,FREE LUNCH,24,393,429,532,205489,REGULAR + AIDE CLASS,1354,0.135774351786966
TRUE,5,FEMALE,NON-FREE LUNCH,23,398,444,505,205491,REGULAR + AIDE CLASS,1347,0.120182200420463
TRUE,5,FEMALE,FREE LUNCH,13,483,506,595,218562,SMALL CLASS,1584,0.88875262789068
TRUE,6,FEMALE,NON-FREE LUNCH,12,431,500,549,162184,SMALL CLASS,1480,0.617554309740715
FALSE,5,FEMALE,FREE LUNCH,19,421,459,494,244736,REGULAR + AIDE CLASS,1374,0.197091800981079
FALSE,5,FEMALE,FREE LUNCH,16,419,468,578,244818,SMALL CLASS,1465,0.553258584442887
FALSE,5,FEMALE,FREE LUNCH,19,472,536,536,244736,REGULAR + AIDE CLASS,1544,0.815346881569727
FALSE,5,FEMALE,FREE LUNCH,19,405,412,498,244736,REGULAR + AIDE CLASS,1315,0.0564120532585844
FALSE,6,FEMALE,FREE LUNCH,12,416,439,528,244796,SMALL CLASS,1383,0.229677645409951
